rowid,kepid,kepoi_name,kepler_name,koi_period,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
2669,7419318,K00313.01,Kepler-137 c,18.73577127,0.024162,1.60704,2.1,0.1289,568.0,24.66,31.0,2,5188.0,4.547,-0.04,0.795,0.814
2670,7419318,K00313.02,Kepler-137 b,8.43639829,0.017275,1.42401,1.5,0.0757,742.0,71.51,17.5,2,5188.0,4.547,-0.04,0.795,0.814
2671,7603200,K00314.01,Kepler-138 c,13.78109471,0.025925999999999998,6.11908,1.42,0.0896,402.0,6.17,39.5,3,3846.0,4.738,-0.24,0.503,0.505
2672,7603200,K00314.02,Kepler-138 d,23.08902241,0.022578,36.24543,1.24,0.1264,338.0,3.1,100.7,3,3846.0,4.738,-0.24,0.503,0.505
2673,10905239,K00046.02,Kepler-101 c,6.02977241,0.0067670000000000004,0.66776,1.18,0.0665,1204.0,496.46,10.87,2,5576.0,4.065,0.3,1.593,1.074
2675,8686097,K00374.01,Kepler-540 b,172.7046083,0.023415000000000002,1.0687200000000001,2.85,0.5886,355.0,3.77,119.0,1,5851.0,4.302,-0.22,1.116,0.91
2679,3323887,K00377.01,Kepler-9 b,19.270825843,0.074186,2.75959,7.74,0.1423,661.0,45.05,37.84,3,5779.0,4.4910000000000005,0.12,0.956,1.034
2681,9716391,K03025.01,Kepler-1413 b,13.1829329,0.020402,2.54545,1.84,0.1066,661.0,45.19,28.6,1,5382.0,4.571000000000001,0.1,0.827,0.928
2682,6929841,K03026.01,Kepler-1414 b,3.51575492,0.013744999999999999,11.69115,1.35,0.0426,1033.0,269.57,19.69,1,5094.0,4.45,0.26,0.901,0.833
2683,5088536,K00282.03,Kepler-130 d,87.5177787,0.014911,0.73311,1.85,0.3794,451.0,9.76,66.7,3,5903.0,4.303999999999999,-0.16,1.137,0.95
2685,11508644,K03101.01,Kepler-1426 b,14.2563272,0.015463,0.12299000000000002,1.73,0.1187,797.0,95.22,10.97,1,6140.0,4.455,-0.04,1.027,1.094
2688,7603200,K00314.03,Kepler-138 b,10.31282204,0.010729,10.93896,0.59,0.0739,443.0,9.07,39.47,3,3846.0,4.738,-0.24,0.503,0.505
